2020-04-08 14:13:01, 	Binance     , 	Kraken      , 	ETH/EUR, 	156.52, 	0.12721, 	155.22, 	0.60784, 	0.837521%, 	0.360000%, 	0.477521%
2020-04-08 14:13:16, 	Binance     , 	Kraken      , 	ETH/EUR, 	156.52, 	0.12721, 	155.39, 	0.60784, 	0.727203%, 	0.360000%, 	0.367203%
2020-04-08 14:13:31, 	Binance     , 	Kraken      , 	ETH/EUR, 	156.52, 	0.12721, 	155.35, 	0.60784, 	0.753138%, 	0.360000%, 	0.393138%
2020-04-08 14:13:46, 	Binance     , 	Kraken      , 	ETH/EUR, 	156.52, 	0.12721, 	155.34, 	0.60784, 	0.759624%, 	0.360000%, 	0.399624%
2020-04-08 14:14:01, 	Binance     , 	Kraken      , 	ETH/EUR, 	156.52, 	0.12721, 	155.3, 	0.60784, 	0.785576%, 	0.360000%, 	0.425576%
2020-04-08 14:14:16, 	Binance     , 	Kraken      , 	ETH/EUR, 	156.52, 	0.12721, 	155.24, 	0.60784, 	0.824530%, 	0.360000%, 	0.464530%
2020-04-08 14:14:31, 	Binance     , 	Kraken      , 	ETH/EUR, 	156.52, 	0.12721, 	155.22, 	0.60784, 	0.837521%, 	0.360000%, 	0.477521%
2020-04-08 14:14:46, 	Binance     , 	Kraken      , 	ETH/EUR, 	156.52, 	0.12721, 	155.15, 	0.60784, 	0.883016%, 	0.360000%, 	0.523016%
2020-04-08 14:15:01, 	Binance     , 	Kraken      , 	ETH/EUR, 	156.52, 	0.12721, 	155.1, 	0.60784, 	0.915538%, 	0.360000%, 	0.555538%
2020-04-08 14:15:16, 	Binance     , 	Kraken      , 	ETH/EUR, 	156.52, 	0.12721, 	155.14, 	0.60784, 	0.889519%, 	0.360000%, 	0.529519%
2020-04-08 14:15:31, 	Binance     , 	Kraken      , 	ETH/EUR, 	156.52, 	0.12721, 	155.14, 	0.60784, 	0.889519%, 	0.360000%, 	0.529519%
2020-04-08 14:15:46, 	Binance     , 	Kraken      , 	ETH/EUR, 	156.52, 	0.12721, 	155.13, 	0.60784, 	0.896023%, 	0.360000%, 	0.536023%
2020-04-08 14:16:01, 	Binance     , 	Kraken      , 	ETH/EUR, 	156.52, 	0.12721, 	155.14, 	0.60784, 	0.889519%, 	0.360000%, 	0.529519%
2020-04-08 14:16:16, 	Binance     , 	Kraken      , 	ETH/EUR, 	156.52, 	0.12721, 	155.17, 	0.60784, 	0.870014%, 	0.360000%, 	0.510014%
2020-04-08 14:16:31, 	Binance     , 	Kraken      , 	ETH/EUR, 	156.52, 	0.12721, 	155.13, 	0.60784, 	0.896023%, 	0.360000%, 	0.536023%
2020-04-08 14:16:46, 	Binance     , 	Kraken      , 	ETH/EUR, 	156.52, 	0.12721, 	155.04, 	0.60784, 	0.954592%, 	0.360000%, 	0.594592%
2020-04-08 14:17:01, 	Binance     , 	Kraken      , 	ETH/EUR, 	156.52, 	0.12721, 	154.97, 	0.60784, 	1.000194%, 	0.360000%, 	0.640194%
2020-04-08 14:17:16, 	Binance     , 	Kraken      , 	ETH/EUR, 	156.52, 	0.12721, 	155.01, 	0.60784, 	0.974131%, 	0.360000%, 	0.614131%
2020-04-08 14:17:31, 	Binance     , 	Kraken      , 	ETH/EUR, 	156.52, 	0.12721, 	155.01, 	0.60784, 	0.974131%, 	0.360000%, 	0.614131%
2020-04-08 14:17:46, 	Binance     , 	Kraken      , 	ETH/EUR, 	156.52, 	0.12721, 	155.0, 	0.60784, 	0.980645%, 	0.360000%, 	0.620645%
2020-04-08 14:18:01, 	Binance     , 	Kraken      , 	ETH/EUR, 	156.52, 	0.12721, 	154.91, 	0.37106, 	1.039313%, 	0.360000%, 	0.679313%
2020-04-08 14:18:16, 	Binance     , 	Kraken      , 	ETH/EUR, 	156.52, 	0.12721, 	154.9, 	0.37106, 	1.045836%, 	0.360000%, 	0.685836%
2020-04-08 14:18:31, 	Binance     , 	Kraken      , 	ETH/EUR, 	156.52, 	0.12721, 	154.86, 	0.31176, 	1.071936%, 	0.360000%, 	0.711936%
2020-04-08 14:18:46, 	Binance     , 	Kraken      , 	ETH/EUR, 	156.52, 	0.12721, 	154.79, 	0.31176, 	1.117643%, 	0.360000%, 	0.757643%
2020-04-08 14:19:01, 	Binance     , 	Kraken      , 	ETH/EUR, 	156.52, 	0.12721, 	154.84, 	0.31176, 	1.084991%, 	0.360000%, 	0.724991%
