2020-04-06 19:09:47 ,480 INFO ,   OPPORTUNITY ,Kraken       ,OKEX         ,XMR/BTC   ,0.008023     ,17.172           ,0.00785       ,66.398            ,2.203822%   ,0.410000% ,1.793822%
2020-04-06 19:10:04 ,063 INFO ,   OPPORTUNITY ,OKEX         ,Poloniex     ,NXT/BTC   ,1.55e-06     ,2906.76134311    ,1.32e-06      ,80668.05046279    ,17.424242%  ,0.240000% ,17.184242%
2020-04-06 19:10:19 ,730 INFO ,   OPPORTUNITY ,Kraken       ,Bitfinex     ,BTC/GBP   ,5885.0       ,1.7              ,5849.2        ,8.41552723        ,0.612050%   ,0.460000% ,0.152050%
2020-04-06 19:10:39 ,817 INFO ,   OPPORTUNITY ,Binance      ,Bittrex      ,NXS/BTC   ,2.283e-05    ,9328.36117409    ,2.218e-05     ,41833.52623291    ,2.930568%   ,0.350000% ,2.580568%
2020-04-06 19:11:32 ,582 INFO ,   OPPORTUNITY ,OKEX         ,Bittrex      ,BLOC/BTC  ,1.4e-07      ,7933478.25429235 ,3e-08         ,51130.94672499    ,366.666667% ,0.400000% ,366.266667%
2020-04-06 19:12:26 ,798 INFO ,   OPPORTUNITY ,Bittrex      ,Binance      ,GTO/BTC   ,1.28e-06     ,390.6328125      ,6.8e-07       ,1983.01982594     ,88.235294%  ,0.350000% ,87.885294%
2020-04-06 19:13:06 ,520 INFO ,   OPPORTUNITY ,OKEX         ,Binance      ,GTO/USDT  ,0.0101       ,8858.7           ,0.00485       ,30322.0           ,108.247423% ,0.250000% ,107.997423%
2020-04-06 19:13:39 ,294 INFO ,   OPPORTUNITY ,Bittrex      ,OKEX         ,HYC/BTC   ,1.8e-07      ,24954.12243339   ,1.76e-07      ,50000.0           ,2.272727%   ,0.400000% ,1.872727%
2020-04-06 19:14:06 ,968 INFO ,   OPPORTUNITY ,Bitfinex     ,OKEX         ,XMR/BTC   ,0.0080136    ,6.38005628       ,0.00785       ,0.25              ,2.084076%   ,0.350000% ,1.734076%
2020-04-06 19:14:35 ,824 INFO ,   OPPORTUNITY ,Bittrex      ,Binance      ,GTO/BTC   ,1.28e-06     ,390.6328125      ,6.8e-07       ,1983.01982594     ,88.235294%  ,0.350000% ,87.885294%
2020-04-06 19:14:52 ,586 INFO ,   OPPORTUNITY ,Binance      ,OKEX         ,XMR/ETH   ,0.35163      ,1.261            ,0.346         ,1.261             ,1.627168%   ,0.250000% ,1.377168%
2020-04-06 19:15:12 ,042 INFO ,   OPPORTUNITY ,Poloniex     ,Binance      ,PAX/USDT  ,1.00132026   ,20.42406797      ,0.9983        ,37.8680542        ,0.302540%   ,0.190000% ,0.112540%
