2020-04-10 01:20:40, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29001524, 	3483.74298501, 	0.2827, 	2.708, 	2.587634%, 	0.400000%, 	2.187634%
2020-04-10 01:20:55, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29001524, 	3483.74298501, 	0.2827, 	2.708, 	2.587634%, 	0.400000%, 	2.187634%
2020-04-10 01:21:10, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29001524, 	3483.74298501, 	0.2827, 	2.708, 	2.587634%, 	0.400000%, 	2.187634%
2020-04-10 01:21:25, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29001524, 	3483.74298501, 	0.2827, 	2.708, 	2.587634%, 	0.400000%, 	2.187634%
2020-04-10 01:21:40, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29001533, 	1279.13898308, 	0.2827, 	2.708, 	2.587665%, 	0.400000%, 	2.187665%
2020-04-10 01:21:55, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29001533, 	1279.13898308, 	0.2827, 	2.708, 	2.587665%, 	0.400000%, 	2.187665%
2020-04-10 01:22:10, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29001533, 	1279.13898308, 	0.2827, 	2.708, 	2.587665%, 	0.400000%, 	2.187665%
2020-04-10 01:22:25, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29001533, 	1279.13898308, 	0.2827, 	2.708, 	2.587665%, 	0.400000%, 	2.187665%
2020-04-10 01:22:40, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29001533, 	1279.13898308, 	0.2827, 	2.708, 	2.587665%, 	0.400000%, 	2.187665%
2020-04-10 01:22:55, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29001533, 	1279.13898308, 	0.2827, 	2.708, 	2.587665%, 	0.400000%, 	2.187665%
2020-04-10 01:23:10, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29001533, 	1279.13898308, 	0.2827, 	2.708, 	2.587665%, 	0.400000%, 	2.187665%
2020-04-10 01:23:25, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29001533, 	1279.13898308, 	0.2827, 	2.708, 	2.587665%, 	0.400000%, 	2.187665%
2020-04-10 01:23:40, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29001533, 	1279.13898308, 	0.2827, 	1002.708, 	2.587665%, 	0.400000%, 	2.187665%
