2020-04-07 23:26:30, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.40413272, 	57.65229088, 	54.5, 	96.89642, 	1.658959%, 	0.400000%, 	1.258959%
2020-04-07 23:27:00, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.40413284, 	66.66723353, 	54.4, 	6.302, 	1.845832%, 	0.400000%, 	1.445832%
2020-04-07 23:27:30, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.40413287, 	4.503, 	54.4, 	98.076884, 	1.845832%, 	0.400000%, 	1.445832%
2020-04-07 23:28:00, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.40413289, 	161.5497551, 	54.39, 	101.94406626, 	1.864558%, 	0.400000%, 	1.464558%
2020-04-07 23:28:30, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.25315117, 	98.175256, 	54.32, 	103.02615826, 	1.717878%, 	0.400000%, 	1.317878%
2020-04-07 23:29:00, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.25315123, 	96.89642, 	54.27, 	11.14601826, 	1.811592%, 	0.400000%, 	1.411592%
2020-04-07 23:29:30, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.25315152, 	102.04243826, 	54.26, 	103.32127426, 	1.830357%, 	0.400000%, 	1.430357%
2020-04-07 23:30:00, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.2531516, 	96.89642, 	54.24, 	4.511, 	1.867905%, 	0.400000%, 	1.467905%
2020-04-07 23:30:30, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.25315163, 	102.53429826, 	54.24, 	96.207816, 	1.867905%, 	0.400000%, 	1.467905%
2020-04-07 23:31:00, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.25315178, 	101.74732226, 	54.22, 	108.43592626, 	1.905481%, 	0.400000%, 	1.505481%
