2020-04-11 14:20:24, 	Poloniex    , 	Binance     , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.993e-05, 	420.0, 	0.800801%, 	0.190000%, 	0.610801%
2020-04-11 14:20:39, 	Poloniex    , 	Binance     , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.992e-05, 	12978.0, 	0.815217%, 	0.190000%, 	0.625217%
2020-04-11 14:20:54, 	Poloniex    , 	Binance     , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.992e-05, 	13035.0, 	0.815217%, 	0.190000%, 	0.625217%
2020-04-11 14:21:09, 	Poloniex    , 	Binance     , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.992e-05, 	13035.0, 	0.815217%, 	0.190000%, 	0.625217%
2020-04-11 14:21:24, 	Poloniex    , 	Binance     , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.992e-05, 	13369.0, 	0.815217%, 	0.190000%, 	0.625217%
2020-04-11 14:21:39, 	Poloniex    , 	Binance     , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.992e-05, 	12694.0, 	0.815217%, 	0.190000%, 	0.625217%
2020-04-11 14:21:54, 	Poloniex    , 	Binance     , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.992e-05, 	8925.0, 	0.815217%, 	0.190000%, 	0.625217%
2020-04-11 14:22:09, 	Poloniex    , 	Binance     , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.992e-05, 	249.0, 	0.815217%, 	0.190000%, 	0.625217%
2020-04-11 14:22:24, 	Poloniex    , 	Binance     , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.992e-05, 	249.0, 	0.815217%, 	0.190000%, 	0.625217%
2020-04-11 14:22:39, 	Poloniex    , 	Binance     , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.983e-05, 	6337.0, 	0.945153%, 	0.190000%, 	0.755153%
2020-04-11 14:22:54, 	Poloniex    , 	Binance     , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.991e-05, 	300.0, 	0.829638%, 	0.190000%, 	0.639638%
2020-04-11 14:23:09, 	Poloniex    , 	Binance     , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.98e-05, 	2887.0, 	0.988539%, 	0.190000%, 	0.798539%
