2020-04-09 00:25:15, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.73e-05, 	379866.0, 	0.801833%, 	0.190000%, 	0.611833%
2020-04-09 00:25:30, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.73e-05, 	379866.0, 	0.801833%, 	0.190000%, 	0.611833%
2020-04-09 00:25:45, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.73e-05, 	379866.0, 	0.801833%, 	0.190000%, 	0.611833%
2020-04-09 00:26:00, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.73e-05, 	379866.0, 	0.801833%, 	0.190000%, 	0.611833%
2020-04-09 00:26:15, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.73e-05, 	379866.0, 	0.801833%, 	0.190000%, 	0.611833%
2020-04-09 00:26:30, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.73e-05, 	379866.0, 	0.801833%, 	0.190000%, 	0.611833%
2020-04-09 00:26:45, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.73e-05, 	379866.0, 	0.801833%, 	0.190000%, 	0.611833%
2020-04-09 00:27:00, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.73e-05, 	379866.0, 	0.801833%, 	0.190000%, 	0.611833%
2020-04-09 00:27:15, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.73e-05, 	379866.0, 	0.801833%, 	0.190000%, 	0.611833%
2020-04-09 00:27:30, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.74e-05, 	851486.0, 	0.686499%, 	0.190000%, 	0.496499%
2020-04-09 00:27:45, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.73e-05, 	543557.0, 	0.801833%, 	0.190000%, 	0.611833%
2020-04-09 00:28:00, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.74e-05, 	851486.0, 	0.686499%, 	0.190000%, 	0.496499%
2020-04-09 00:28:15, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.74e-05, 	851486.0, 	0.686499%, 	0.190000%, 	0.496499%
2020-04-09 00:28:30, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.74e-05, 	851486.0, 	0.686499%, 	0.190000%, 	0.496499%
2020-04-09 00:28:45, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.712e-05, 	101118.1217184, 	8.73e-05, 	789882.0, 	-0.206186%, 	0.190000%, 	-0.396186%
2020-04-09 13:05:09, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.642e-05, 	350707.2334979, 	8.61e-05, 	881841.0, 	0.371661%, 	0.190000%, 	0.181661%
2020-04-09 13:05:24, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.642e-05, 	350707.2334979, 	8.61e-05, 	490485.0, 	0.371661%, 	0.190000%, 	0.181661%
2020-04-09 13:05:39, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.642e-05, 	350707.2334979, 	8.62e-05, 	2585878.0, 	0.255220%, 	0.190000%, 	0.065220%
